Id Database record;Name_site;Province;Country;Region;Laboratory;CRA;Error;Life;Method;Sample;Type;Specie;13C;15N;CN;Level;SU or UE;Periodization;Phase;Cultural_horizon;Cultural info;LongGM;LatGM;Short reference;Bibliography
104;Barca do Xerez de Baixo;Distrito de Évora;Portugal;Atlantic Coast;OxA-13266;8729;36;Long;AMS;Charcoal;Singular;Quercus coccifera;;;;Area 5 AS46 / - / 231;Structure E;Mesolithic;Early;Initial Mesolithic;Flakes and stones;-7.533;38.417;Araújo and Almeida 2013;
105;Barca do Xerez de Baixo;Distrito de Évora;Portugal;Atlantic Coast;OxA-13406;8150;40;Long;AMS;Charcoal;Singular;Quercus coccifera;;;;Area 2 G53 / 2A / 14 (level 2);Structure A;Mesolithic;Early;Initial Mesolithic;Flakes and stones;-7.533;38.417;Araújo and Almeida 2013;
106;Barca do Xerez de Baixo;Distrito de Évora;Portugal;Atlantic Coast;Beta-120607;8640;50;Long;AMS;Charcoal;Singular;n.d;;;;Sondeo 1998 P41/C.2;Combustion structure;Mesolithic;Early;Initial Mesolithic;Flakes and stones;-7.533;38.417;Araújo and Almeida 2013;
107;Barca do Xerez de Baixo;Distrito de Évora;Portugal;Atlantic Coast;OxA-13264;8250;37;Short;AMS;Charcoal;Singular;Erica arborea;;;;Area 2  G52 / 2A / 22  (level 2);Structure A;Mesolithic;Early;Initial Mesolithic;Flakes and stones;-7.533;38.417;Araújo and Almeida 2013;
108;Barca do Xerez de Baixo;Distrito de Évora;Portugal;Atlantic Coast;OxA-13265;8248;35;Short;AMS;Charcoal;Singular;Erica arborea;;;;Area 2 H53 / 2A / 8  (level 2);Structure A;Mesolithic;Early;Initial Mesolithic;Flakes and stones;-7.533;38.417;Araújo and Almeida 2013;
412;Espantalobos;Huesca;Spain;West Mediterranean;Beta-361625;7900;50;Long;AMS;Charcoal;Singular;Juniperus sp. ;-22.9;;;Level E;Sector 8;Mesolithic;Early;Notches and Denticulates Mesolithic;;-0.343;42.154;Montes et al. 2015;Montes Ramírez, L., Domingo, R., Cuchí, J.A., Alcolea, M., Sola, C., 2015. Completando el mapa de la Cuenca del Ebro: el Mesolítico del IX milenio cal BP de Espantalobos (Huesca, España). Munibe Antropol.-Arkeol. 66, 119–133.
413;Espantalobos;Huesca;Spain;West Mediterranean;Beta-361624;7390;40;Long;AMS;Charcoal;Singular;Juniperus sp. ;-23.5;;;Level C;Sector 8;Mesolithic;Late;Castelnovian A;7 trapezes;-0.343;42.154;Montes et al. 2015;Montes Ramírez, L., Domingo, R., Cuchí, J.A., Alcolea, M., Sola, C., 2015. Completando el mapa de la Cuenca del Ebro: el Mesolítico del IX milenio cal BP de Espantalobos (Huesca, España). Munibe Antropol.-Arkeol. 66, 119–133.
414;Espantalobos;Huesca;Spain;West Mediterranean;Beta-505966;7760;30;Long;AMS;Charcoal;Singular;Juniperus sp. ;-22.2;;;Level E;;Mesolithic;Late;Castelnovian A;34 trapezes [based on Soto et al. 2023];-0.343;42.154;Soto et al. 2023;Sotoa,A., Rodríguez-Lejarzaa, A., Jim´ enezb, L., Domingob, R., Utrillab, P., Montesc, L., Alday, A. 2023. There and back again: Late Mesolithic technological change in the northeast of the Iberian Peninsula. JournalofArchaeologicalScience: Reports50, 104086. ISSN 2352-409X. doi:10.1016/j.jasrep.2023.104086 
415;Espantalobos;Huesca;Spain;West Mediterranean;Beta-505963;7650;40;;AMS;Charcoal;Singular;Rosmarinus;-24.3;;;Level E;;Mesolithic;Late;Castelnovian A;34 trapezes [based on Soto et al. 2023];-0.343;42.154;Soto et al. 2023;Sotoa,A., Rodríguez-Lejarzaa, A., Jim´ enezb, L., Domingob, R., Utrillab, P., Montesc, L., Alday, A. 2023. There and back again: Late Mesolithic technological change in the northeast of the Iberian Peninsula. JournalofArchaeologicalScience: Reports50, 104086. ISSN 2352-409X. doi:10.1016/j.jasrep.2023.104086 
416;Espantalobos;Huesca;Spain;West Mediterranean;Beta-505964;7570;30;Long;AMS;Charcoal;Singular;Pinus halepensis;-21.3;;;Level E;;Mesolithic;Late;Castelnovian A;34 trapezes [based on Soto et al. 2023];-0.343;42.154;Soto et al. 2023;Sotoa,A., Rodríguez-Lejarzaa, A., Jim´ enezb, L., Domingob, R., Utrillab, P., Montesc, L., Alday, A. 2023. There and back again: Late Mesolithic technological change in the northeast of the Iberian Peninsula. JournalofArchaeologicalScience: Reports50, 104086. ISSN 2352-409X. doi:10.1016/j.jasrep.2023.104086 
417;Espantalobos;Huesca;Spain;West Mediterranean;Beta-505961;7410;30;;AMS;Charcoal;Singular;Rosmarinus;-25.2;;;Level C;;Mesolithic;Late;Castelnovian A;13 trapezes [based on Soto et al. 2023];-0.343;42.154;Soto et al. 2023;Sotoa,A., Rodríguez-Lejarzaa, A., Jim´ enezb, L., Domingob, R., Utrillab, P., Montesc, L., Alday, A. 2023. There and back again: Late Mesolithic technological change in the northeast of the Iberian Peninsula. JournalofArchaeologicalScience: Reports50, 104086. ISSN 2352-409X. doi:10.1016/j.jasrep.2023.104086 
418;Espantalobos;Huesca;Spain;West Mediterranean;Beta-506962;7370;30;Long;AMS;Charcoal;Singular;Pinus sp.;-24.3;;;Level C;;Mesolithic;Late;Castelnovian A;13 trapezes [based on Soto et al. 2023];-0.343;42.154;Soto et al. 2023;Sotoa,A., Rodríguez-Lejarzaa, A., Jim´ enezb, L., Domingob, R., Utrillab, P., Montesc, L., Alday, A. 2023. There and back again: Late Mesolithic technological change in the northeast of the Iberian Peninsula. JournalofArchaeologicalScience: Reports50, 104086. ISSN 2352-409X. doi:10.1016/j.jasrep.2023.104086 
419;Espantalobos;Huesca;Spain;West Mediterranean;Beta-505965;7370;30;Long;AMS;Charcoal;Singular;Pinus halepensis;-30;;;Level C;;Mesolithic;Late;Castelnovian A;13 trapezes [based on Soto et al. 2023];-0.343;42.154;Soto et al. 2023;Sotoa,A., Rodríguez-Lejarzaa, A., Jim´ enezb, L., Domingob, R., Utrillab, P., Montesc, L., Alday, A. 2023. There and back again: Late Mesolithic technological change in the northeast of the Iberian Peninsula. JournalofArchaeologicalScience: Reports50, 104086. ISSN 2352-409X. doi:10.1016/j.jasrep.2023.104086 
