Id Database record;Name_site;Province;Country;Region;Laboratory;CRA;Error;Life;Method;Sample;Type;Specie;13C;15N;CN;Level;SU or UE;Period;Phase;Cultural_horizon;Periodization;Cultural info;LongGM;LatGM;Short reference;Bibliography
28;Abrigo da Pena de Mira;Distrito de Leiria;Portugal;West Mediterranean;ICEN-966;7810;120;Long;Conventional;Charcoal;n.d;n.d;;;;Brecha desmantelada;Shellmidden;Mesolithic;Early;Initial Mesolithic;Early Mesolithic;;-8.71667;39.53333;Araújo 2003;Modificada en BdD
83;Arapouco;Distrito de Lisboa;Portugal;West Mediterranean;Q-2492;7420;65;Short;n.d;Shell;Bulk;n.d;;;;Middle;;Mesolithic;Late;Castelnovian A;Late Mesolithic;83 trapeze / 11 triangle / 7 segment / 5 nd [Diniz y Nukushina 2012];-8.51006;38.31013;Carvalho 2009;Carvalho, A.F., 2009. O Mesolítico final em Portugal, in: Utrilla, P., Montes, L. (Eds.), El Mesolítico Geométrico En La Península Ibérica. Universidad de Zaragoza, Zaragoza, pp. 33–68.
84;Arapouco;Distrito de Lisboa;Portugal;West Mediterranean;Sac-1560;7200;130;Short;AMS;Bone;Singular;Human;-16.92;12;3.5;Unknown;Burial 2A;Mesolithic;Late;Castelnovian A;Late Mesolithic;83 trapeze / 11 triangle / 7 segment / 5 nd [Diniz y Nukushina 2012];-8.51006;38.31013;Guiry et al. 2016;Guiry, E.J., Hillier, M., Boaventura, R., Silva, A.M., Oosterbeek, L., Tomé, T., Valera, A., Cardoso, J.L., Hepburn, J.C., Richards, M.P., 2016. The transition to agriculture in south-western Europe: new isotopic insights from Portugal’s Atlantic coast. Antiquity 90, 604–616.
89;Armaçao Nova;Distrito de Faro;Portugal;West Mediterranean;ICEN-1227;7350;80;Short;Conventional;Shell;Bulk;n.d;;;;C4;C4b;Mesolithic;Late;Castelnovian A;Late Mesolithic;No geometrics (specific economical site);-8.96394;37.04459;Carvalho 2008;Carvalho, A.F., 2008. A Neolitização do Portugal Meridional: Os exemplos do Maciço Calcário Estremenho e do Algarve Ocidental, Promontoria Monográfica. Universidade do Algarbe, Faro.
90;Armaçao Nova;Distrito de Faro;Portugal;West Mediterranean;ICEN-1229;7500;60;Short;n.d;Shell;Bulk;n.d;;;;C2;c2e;Mesolithic;Late;Castelnovian A;Late Mesolithic;No geometrics (specific economical site);-8.96394;37.04459;Carvalho 2009;Carvalho, A.F., 2009. O Mesolítico final em Portugal, in: Utrilla, P., Montes, L. (Eds.), El Mesolítico Geométrico En La Península Ibérica. Universidad de Zaragoza, Zaragoza, pp. 33–68.
91;Armaçao Nova;Distrito de Faro;Portugal;West Mediterranean;ICEN-1230;7530;60;Short;n.d;Shell;Bulk;n.d;;;;C2;c2e;Mesolithic;Late;Castelnovian A;Late Mesolithic;No geometrics (specific economical site);-8.96394;37.04459;Carvalho 2009;Carvalho, A.F., 2009. O Mesolítico final em Portugal, in: Utrilla, P., Montes, L. (Eds.), El Mesolítico Geométrico En La Península Ibérica. Universidad de Zaragoza, Zaragoza, pp. 33–68.
92;Armaçao Nova;Distrito de Faro;Portugal;West Mediterranean;ICEN-1228;8120;60;Short;n.d;Shell;Bulk;n.d;;;;C4;C4b;Mesolithic;Late;Castelnovian A;Late Mesolithic;No geometrics [Soares / Tavares Muita gente];-8.96394;37.04459;Carvalho 2009;Carvalho, A.F., 2009. O Mesolítico final em Portugal, in: Utrilla, P., Montes, L. (Eds.), El Mesolítico Geométrico En La Península Ibérica. Universidad de Zaragoza, Zaragoza, pp. 33–68.
144;Baume Montclus;R. Languedoc-Roussillon;France;West Mediterranean;Beta-253160;6660;40;Short;AMS;Bone;Singular;Capreolus capreolus;;;;Layer 7;C7;Mesolithic;Late;Castelnovian A;Late Mesolithic;6 BG1 / 7 GB3;4.42;44.27;Binder et al. 2017;Binder, D., Battentier, J., Delhon, C., Sénépart, I., 2017. In pursuit of a missing transition: the Mesolithic and Neolithic radiocarbon chronology at La Font-aux-Pigeons rockshelter. Antiquity 91, 605–620. doi:10.15184/aqy.2017.65
145;Baume Montclus;R. Languedoc-Roussillon;France;West Mediterranean;Beta-253161;6990;40;Short;AMS;Bone;Singular;Sus scrofa;;;;Layer 10;C10B;Mesolithic;Late;Castelnovian A;Late Mesolithic;44 BG1;4.42;44.27;Binder et al. 2017;Binder, D., Battentier, J., Delhon, C., Sénépart, I., 2017. In pursuit of a missing transition: the Mesolithic and Neolithic radiocarbon chronology at La Font-aux-Pigeons rockshelter. Antiquity 91, 605–620. doi:10.15184/aqy.2017.65
146;Baume Montclus;R. Languedoc-Roussillon;France;West Mediterranean;Beta-253162;7170;50;Short;AMS;Bone;Singular;Wildlife / Fauna;;;;Layer 12A;C12A, carré E2;Mesolithic;Late;Castelnovian A;Late Mesolithic;53 BG1;4.42;44.27;Binder et al. 2017;Binder, D., Battentier, J., Delhon, C., Sénépart, I., 2017. In pursuit of a missing transition: the Mesolithic and Neolithic radiocarbon chronology at La Font-aux-Pigeons rockshelter. Antiquity 91, 605–620. doi:10.15184/aqy.2017.65
147;Baume Montclus;R. Languedoc-Roussillon;France;West Mediterranean;Beta-253163;7190;50;Short;AMS;Bone;Singular;Capreolus capreolus;;;;Layer 13B;C13B;Mesolithic;Late;Castelnovian A;Late Mesolithic;156 BG1 / 1 BG2;4.42;44.27;Binder et al. 2017;Binder, D., Battentier, J., Delhon, C., Sénépart, I., 2017. In pursuit of a missing transition: the Mesolithic and Neolithic radiocarbon chronology at La Font-aux-Pigeons rockshelter. Antiquity 91, 605–620. doi:10.15184/aqy.2017.65
148;Baume Montclus;R. Languedoc-Roussillon;France;West Mediterranean;Beta-253164;7320;50;Short;AMS;Bone;Singular;Wildlife / Fauna;;;;Layer 14B;C14B;Mesolithic;Late;Castelnovian A;Late Mesolithic;62 BG1;4.42;44.27;Binder et al. 2017;Binder, D., Battentier, J., Delhon, C., Sénépart, I., 2017. In pursuit of a missing transition: the Mesolithic and Neolithic radiocarbon chronology at La Font-aux-Pigeons rockshelter. Antiquity 91, 605–620. doi:10.15184/aqy.2017.65
149;Baume Montclus;R. Languedoc-Roussillon;France;West Mediterranean;Beta-253166;7670;50;Short;AMS;Bone;Singular;Wildlife / Fauna;;;;Layer 16;C16;Mesolithic;Early / Late;Mixed cultural horizons;Early / Late Mesolithic;34 BG2 / Denticulates;4.42;44.27;Binder et al. 2017;Binder, D., Battentier, J., Delhon, C., Sénépart, I., 2017. In pursuit of a missing transition: the Mesolithic and Neolithic radiocarbon chronology at La Font-aux-Pigeons rockshelter. Antiquity 91, 605–620. doi:10.15184/aqy.2017.65
150;Baume Montclus;R. Languedoc-Roussillon;France;West Mediterranean;Beta-255115;7770;50;Short;AMS;Bone;Singular;Cervus sp.;;;;Layer 15;C15 D3;Mesolithic;Early / Late;Mixed cultural horizons;Early / Late Mesolithic;9 BG2 / Denticulates;4.42;44.27;Binder et al. 2017;Binder, D., Battentier, J., Delhon, C., Sénépart, I., 2017. In pursuit of a missing transition: the Mesolithic and Neolithic radiocarbon chronology at La Font-aux-Pigeons rockshelter. Antiquity 91, 605–620. doi:10.15184/aqy.2017.65
151;Baume Montclus;R. Languedoc-Roussillon;France;West Mediterranean;Beta-255116;7800;50;Short;AMS;Bone;Singular;Wildlife / Fauna;;;;Layer 18B;C18B;Mesolithic;Early;Indeterminate;Early Mesolithic;Denticulates;4.42;44.27;Binder et al. 2017;Binder, D., Battentier, J., Delhon, C., Sénépart, I., 2017. In pursuit of a missing transition: the Mesolithic and Neolithic radiocarbon chronology at La Font-aux-Pigeons rockshelter. Antiquity 91, 605–620. doi:10.15184/aqy.2017.65
160;Abrigo grande de Bocas;Distrito Santarem;Portugal;West Mediterranean;ICEN-899;7490;110;Short;Conventional;Shell;Bulk;n.d;;;;;Camada 1;Mesolithic;Late;Castelnovian A;Late Mesolithic;47 trapeze / 4 triangle / 40 segment  [Carvalho 2008];-8.91273;39.32236;Zilhao 2000;Zilhão, J., 2000. From the mesolithic to the neolithic in the Iberian peninsular, in: Douglas, P.T. (Ed.), Europe’s First Farmers. The press syndicate of the University of Cambrigde, Cambridge, pp. 144–182.
170;Buraca Grande;Distrito de Leiria;Portugal;West Mediterranean;Sac-1459;6940;140;Short;Conventional;Shell;Bulk;n.d;;;;7C;;Mesolithic;Late;Mixed cultural horizons;Late Mesolithic;Presencia de material cerámico [No fiable];-8.48803;39.95715;Zilhao 2000;Zilhão, J., 2000. From the mesolithic to the neolithic in the Iberian peninsular, in: Douglas, P.T. (Ed.), Europe’s First Farmers. The press syndicate of the University of Cambrigde, Cambridge, pp. 144–182.
171;Buraca Grande;Distrito de Leiria;Portugal;West Mediterranean;Sac-1461;6850;210;Long;Conventional;Charcoal;Bulk;n.d;;;;7C;;Mesolithic;Late;Mixed cultural horizons;Late Mesolithic;Presencia de material cerámico [No fiable];-8.48803;39.95715;Zilhao 2000;Zilhão, J., 2000. From the mesolithic to the neolithic in the Iberian peninsular, in: Douglas, P.T. (Ed.), Europe’s First Farmers. The press syndicate of the University of Cambrigde, Cambridge, pp. 144–182.
172;Buraca Grande;Distrito de Leiria;Portugal;West Mediterranean;Gif-9940;7000;60;Long;Conventional;Charcoal;Bulk;n.d;;;;8A;BG K20 B/8 (z = 257);Mesolithic;Late;Castelnovian B;Late Mesolithic;1  triangle [dudoso];-8.48803;39.95715;Aubry et al. 1997;Aubry, T., Fontugne, M., Moura, M.-H., 1997. Les occupations de la grotte de Buraca Grande depuis le Paléolithique supérieur et les apports de la séquence holocène à l’étude de la transition Mésolithique/Néolithique au Portugal. Bull. Société Préhistorique Fr. 94, 182–190.
173;Cabeço da Amoreira;Distrito Santarem;Portugal;West Mediterranean;TO-11819R;7300;80;Short;AMS;Bone;Singular;Human;-16.4;12.7;;Burial CAM-00-01 / Jean Roche area (below shellmidden);Basal phase (Bicho’s proposal);Mesolithic;Late;Castelnovian B;Late Mesolithic;without archaeological remains relation;-8.48635;39.12782;Bicho et al. 2011;Bicho, N., Cascalheira, J., Marreiros, J., Pereira, T., 2011. The 2008-2010 excavations of Cabeço da Amoreira, Muge, Portugal. Mesolith. Misc. 21, 3–13.
174;Cabeço da Amoreira;Distrito Santarem;Portugal;West Mediterranean;UGAMS-7197;7450;30;Short;AMS;Shell;n.d;Scrobicularia plana;;;;Main pit / West cut  (below shellmidden)  / Mendes Correa area;;Mesolithic;Late;Castelnovian B;Late Mesolithic;without archaeological remains relation;-8.48635;39.12782;Bicho et al. 2011;Bicho, N., Cascalheira, J., Marreiros, J., Pereira, T., 2011. The 2008-2010 excavations of Cabeço da Amoreira, Muge, Portugal. Mesolith. Misc. 21, 3–13.
175;Cabeço da Amoreira;Distrito Santarem;Portugal;West Mediterranean;Wk-26797;7291;35;Short;AMS;Shell;n.d;Cerastodema edule;;;;Level 1b / Cairn context;Cairn phase (Bicho’s proposal);Mesolithic;Late;Castelnovian B;Late Mesolithic;without archaeological remains relation;-8.48635;39.12782;Bicho et al. 2011;Bicho, N., Cascalheira, J., Marreiros, J., Pereira, T., 2011. The 2008-2010 excavations of Cabeço da Amoreira, Muge, Portugal. Mesolith. Misc. 21, 3–13.
176;Cabeço da Amoreira;Distrito Santarem;Portugal;West Mediterranean;Wk-26798;7145;37;Short;AMS;Shell;n.d;Cerastodema edule;;;;Level 1b / Cairn context;Cairn phase (Bicho’s proposal) ;Mesolithic;Late;Castelnovian B;Late Mesolithic;without archaeological remains relation;-8.48635;39.12782;Bicho et al. 2011;Bicho, N., Cascalheira, J., Marreiros, J., Pereira, T., 2011. The 2008-2010 excavations of Cabeço da Amoreira, Muge, Portugal. Mesolith. Misc. 21, 3–13.
177;Cabeço da Amoreira;Distrito Santarem;Portugal;West Mediterranean;UGAMS-7196;6990;30;Long;AMS;Charcoal;Bulk;n.d;;;;Hearth 1 West cut  (below shellmidden) / Mendes Correa area;;Mesolithic;Late;Castelnovian B;Late Mesolithic;without archaeological remains relation;-8.48635;39.12782;Bicho et al. 2011;Bicho, N., Cascalheira, J., Marreiros, J., Pereira, T., 2011. The 2008-2010 excavations of Cabeço da Amoreira, Muge, Portugal. Mesolith. Misc. 21, 3–13.
178;Cabeço da Amoreira;Distrito Santarem;Portugal;West Mediterranean;Wk-28033;7479;48;Short;AMS;Shell;n.d;Scrobicularia plana;;;;Level 1 /West cut (shellmidden) / Mendes Correa area;Basal phase (Bicho’s proposal);Mesolithic;Late;Castelnovian B;Late Mesolithic;without archaeological remains relation;-8.48635;39.12782;Bicho et al. 2011;Bicho, N., Cascalheira, J., Marreiros, J., Pereira, T., 2011. The 2008-2010 excavations of Cabeço da Amoreira, Muge, Portugal. Mesolith. Misc. 21, 3–13.
179;Cabeço da Amoreira;Distrito Santarem;Portugal;West Mediterranean;Wk-28034;7370;48;Short;AMS;Shell;n.d;Scrobicularia plana;;;;Level 2 / West cut (shellmidden) / Mendes Correa area;Shellmidden phase 1 (Bicho’s proposal);Mesolithic;Late;Castelnovian B;Late Mesolithic;without archaeological remains relation;-8.48635;39.12782;Bicho et al. 2011;Bicho, N., Cascalheira, J., Marreiros, J., Pereira, T., 2011. The 2008-2010 excavations of Cabeço da Amoreira, Muge, Portugal. Mesolith. Misc. 21, 3–13.
180;Cabeço da Amoreira;Distrito Santarem;Portugal;West Mediterranean;Wk-30671;7417;34;Short;AMS;Shell;n.d;Scrobicularia plana;;;;Level 2 / West cut 2 (shellmidden) / Jean Roche area;Shellmidden phase 1 (Bicho’s proposal);Mesolithic;Late;Castelnovian B;Late Mesolithic;without archaeological remains relation;-8.48635;39.12782;Bicho et al. 2011;Bicho, N., Cascalheira, J., Marreiros, J., Pereira, T., 2011. The 2008-2010 excavations of Cabeço da Amoreira, Muge, Portugal. Mesolith. Misc. 21, 3–13.
181;Cabeço da Amoreira;Distrito Santarem;Portugal;West Mediterranean;Wk-30673;7406;32;Short;AMS;Shell;n.d;Scrobicularia plana;;;;Level 2 / North cut (shellmidden)  / Jean Roche area;Shellmidden phase 1 (Bicho’s proposal);Mesolithic;Late;Castelnovian B;Late Mesolithic;without archaeological remains relation;-8.48635;39.12782;Bicho et al. 2011;Bicho, N., Cascalheira, J., Marreiros, J., Pereira, T., 2011. The 2008-2010 excavations of Cabeço da Amoreira, Muge, Portugal. Mesolith. Misc. 21, 3–13.
182;Cabeço da Amoreira;Distrito Santarem;Portugal;West Mediterranean;Wk-28039;7395;48;Short;AMS;Shell;n.d;Scrobicularia plana;;;;Level 9 / West cut (shellmidden) / Mendes Correa area;Shellmidden phase 1 (Bicho’s proposal);Mesolithic;Late;Castelnovian B;Late Mesolithic;without archaeological remains relation;-8.48635;39.12782;Bicho et al. 2011;Bicho, N., Cascalheira, J., Marreiros, J., Pereira, T., 2011. The 2008-2010 excavations of Cabeço da Amoreira, Muge, Portugal. Mesolith. Misc. 21, 3–13.
183;Cabeço da Amoreira;Distrito Santarem;Portugal;West Mediterranean;Wk-28035;7395;48;Short;AMS;Shell;n.d;Scrobicularia plana;;;;Level 5 / West cut (shellmidden) / Mendes Correa area;Shellmidden phase 1 (Bicho’s proposal);Mesolithic;Late;Castelnovian B;Late Mesolithic;without archaeological remains relation;-8.48635;39.12782;Bicho et al. 2011;Bicho, N., Cascalheira, J., Marreiros, J., Pereira, T., 2011. The 2008-2010 excavations of Cabeço da Amoreira, Muge, Portugal. Mesolith. Misc. 21, 3–13.
